LSOA code,LSOA name,Value
E01000605,Brent 021F,
E01000606,Brent 016B,
E01000607,Brent 013C,"519,000"
E01000608,Brent 013D,"357,475"
E01000609,Brent 016C,"340,350"
E01000610,Brent 019A,"516,000"
E01000611,Brent 016D,"380,000"
E01000612,Brent 019B,"546,250"
E01000613,Brent 013E,"262,500"
E01000615,Brent 017B,"515,000"
E01000616,Brent 020A,"400,000"
E01000617,Brent 017C,"442,500"
E01000618,Brent 017D,"504,000"
E01000619,Brent 017E,
E01000620,Brent 020B,"195,600"
E01000621,Brent 020C,"512,500"
E01000622,Brent 010D,"365,000"
E01000623,Brent 005C,"640,000"
E01000624,Brent 005D,"545,000"
E01000625,Brent 009E,"590,000"
E01000626,Brent 010E,"280,000"
E01000627,Brent 014E,"523,750"
E01000628,Brent 014F,"525,000"
E01000629,Brent 005E,"535,000"
E01000630,Brent 026E,"520,000"
E01000631,Brent 019C,"607,500"
E01000632,Brent 029E,"560,000"
E01000633,Brent 019D,"590,000"
E01000634,Brent 019E,"370,000"
E01000635,Brent 020D,
E01000636,Brent 020E,"340,000"
E01000637,Brent 022B,"495,000"
E01000638,Brent 024A,"390,000"
E01000639,Brent 022C,"527,500"
E01000640,Brent 024B,"370,000"
E01000641,Brent 024C,"520,000"
E01000642,Brent 022D,"550,000"
E01000643,Brent 024D,"470,950"
E01000644,Brent 022E,"570,000"
E01033424,Brent 017F,"410,000"
E01033455,Brent 031G,
E01033456,Brent 027F,
E01033457,Brent 017G,
E01033463,Brent 003G,"586,250"
E01033464,Brent 010F,"525,000"
E01033485,Brent 031H,"460,000"
E01000645,Bromley 007A,"1,050,000"
E01000646,Bromley 016A,"352,000"
E01000647,Bromley 016B,"497,450"
E01000648,Bromley 016C,"585,000"
E01000649,Bromley 007B,"930,000"
E01000650,Bromley 022A,"1,095,000"
E01000651,Bromley 020A,"575,000"
E01000652,Bromley 022B,"623,000"
E01000653,Bromley 016D,"570,000"
E01000654,Bromley 039A,"375,000"
E01000655,Bromley 039B,"385,000"
E01000656,Bromley 039C,"465,000"
E01000657,Bromley 039D,"387,500"
E01000658,Bromley 042A,"460,000"
E01000659,Bromley 039E,"417,500"
E01000661,Bromley 026A,"385,000"
E01000662,Bromley 026B,"500,000"
E01000663,Bromley 026C,"470,000"
E01000664,Bromley 026D,"575,000"
E01000665,Bromley 033A,"505,000"
E01000666,Bromley 033B,"656,000"
E01000667,Bromley 033C,"1,030,000"
E01000668,Bromley 020B,"390,000"
E01000669,Bromley 020C,"480,100"
E01000670,Bromley 018A,"645,000"
E01000671,Bromley 020D,"500,000"
E01000672,Bromley 011A,"500,000"
E01000673,Bromley 011B,"595,000"
E01000674,Bromley 008A,"400,000"
E01000675,Bromley 018B,"435,000"
E01000676,Bromley 008B,"370,500"
E01000677,Bromley 018C,"490,313"
E01000678,Bromley 016E,"634,500"
E01000679,Bromley 020E,"530,000"
E01000680,Bromley 037A,"515,000"
E01000681,Bromley 035A,"506,000"
E01000682,Bromley 035B,"547,500"
E01000683,Bromley 035C,"430,500"
E01000684,Bromley 035D,"590,000"
E01000685,Bromley 037B,"525,000"
E01000686,Bromley 037C,"575,000"
E01000687,Bromley 037D,"502,500"
E01000688,Bromley 037E,"642,000"
E01000689,Bromley 002A,"475,000"
E01000690,Bromley 002B,"625,000"
E01000691,Bromley 002C,"500,000"
E01000692,Bromley 002D,"548,750"
E01000693,Bromley 010A,"560,500"
E01000694,Bromley 007C,"800,000"
E01000695,Bromley 007D,"962,508"
E01000696,Bromley 007E,"950,000"
E01000697,Bromley 007F,"540,000"
E01000698,Bromley 010B,"925,000"
E01000699,Bromley 015A,"377,500"
E01000700,Bromley 013A,"465,000"
E01000701,Bromley 015B,"462,500"
E01000702,Bromley 013B,"522,500"
E01000703,Bromley 013C,"525,000"
E01000704,Bromley 015C,"450,000"
E01000705,Bromley 015D,"470,000"
E01000706,Bromley 013D,"535,000"
E01000707,Bromley 041A,"725,000"
E01000708,Bromley 041B,"546,250"
E01000709,Bromley 006A,"430,000"
E01000710,Bromley 006B,"350,000"
E01000711,Bromley 006C,"372,500"
E01000712,Bromley 012A,"425,000"
E01000713,Bromley 012B,"370,000"
E01000714,Bromley 006D,"427,500"
E01000715,Bromley 012C,"413,000"
E01000716,Bromley 011C,"515,000"
E01000717,Bromley 011D,"350,000"
E01000718,Bromley 006E,"480,000"
E01000719,Bromley 019A,"320,000"
